sample-id	forward-absolute-filepath	reverse-absolute-filepath	env_material	station
SRR5061015	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061015_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061015_2.fastq.gz	ice	ICE17
SRR5061016	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061016_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061016_2.fastq.gz	ice	ICE18
SRR5061017	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061017_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061017_2.fastq.gz	ice	ICE19
SRR5061018	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061018_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061018_2.fastq.gz	ice	ICE20
SRR5061019	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061019_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061019_2.fastq.gz	ice	ICE21
SRR5061020	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061020_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061020_2.fastq.gz	ice	ICE22
SRR5061021	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061021_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061021_2.fastq.gz	ice	ICE23
SRR5061022	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061022_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061022_2.fastq.gz	ice	ICE01
SRR5061023	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061023_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061023_2.fastq.gz	ice	ICE02
SRR5061024	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061024_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061024_2.fastq.gz	ice	ICE03
SRR5061025	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061025_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061025_2.fastq.gz	ice	ICE04
SRR5061026	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061026_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061026_2.fastq.gz	ice	ICE05
SRR5061027	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061027_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061027_2.fastq.gz	ice	ICE06
SRR5061028	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061028_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061028_2.fastq.gz	ice	ICE07
SRR5061029	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061029_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061029_2.fastq.gz	ice	ICE08
SRR5061030	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061030_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061030_2.fastq.gz	ice	ICE09
SRR5061031	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061031_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061031_2.fastq.gz	ice	ICE10
SRR5061032	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061032_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061032_2.fastq.gz	ice	ICE11
SRR5061033	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061033_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061033_2.fastq.gz	ice	ICE12
SRR5061034	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061034_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061034_2.fastq.gz	ice	ICE13
SRR5061035	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061035_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061035_2.fastq.gz	ice	ICE14
SRR5061036	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061036_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061036_2.fastq.gz	ice	ICE15
SRR5061037	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061037_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061037_2.fastq.gz	ice	ICE16
SRR5061038	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061038_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061038_2.fastq.gz	ice	ICE17
SRR5061039	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061039_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061039_2.fastq.gz	ice	ICE18
SRR5061040	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061040_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061040_2.fastq.gz	ice	ICE19
SRR5061041	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061041_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061041_2.fastq.gz	ice	ICE20
SRR5061042	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061042_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061042_2.fastq.gz	ice	ICE21
SRR5061043	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061043_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061043_2.fastq.gz	ice	ICE22
SRR5061044	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061044_1.fastq.gz	/vortexfs1/omics/env-bio/users/mpachiadaki/sra/SRR5061044_2.fastq.gz	ice	ICE23
